#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
137 0.836408 3 1.01531 3 42 0.188686 83 116 130.514
138 0.85582 3 0.914195 3 48 0.279459 81 113 133.898
139 0.769935 3 0.889286 3 49 0.272342 79 105 134.271
140 0.774633 3 0.943166 3 48 0.27616 74 120 133.936
141 1.17117 3 0.846969 3 51 0.336592 63 84 134.72
142 0.561198 4 0.914465 4 54 0.2273 102 186 140.428
143 0.824404 3.16667 0.847724 3 55 0.344373 76 118 140.413
144 1.00064 3 0.90932 3 51 0.228069 82 102 135.772
145 0.684647 4 0.839205 4 55 0.330401 89 163 140.109
146 0.46144 4 0.923395 4 49 0.268848 79 177 137.158
147 1.5714 2.41667 0.750398 2 50 0.412873 59 53 133.484
148 1.3639 2.76923 0.744576 3 53 0.449937 61 53 134.216
149 0.665972 4.5 0.898264 5 54 0.302359 143 217 140.7
150 0.531786 4.23077 0.940589 4 54 0.246019 100 185 140.979
151 1.3569 2.41667 0.74655 2 57 0.326898 56 62 137.983
152 1.61355 2 0.654192 2 56 0.564305 48 23 135.114
153 2.05697 2.66667 0.602426 3 53 0.60623 51 30 133.596
154 1.11065 3.07692 0.769813 5 47 0.428109 124 79 133.388
155 0.388819 5.45455 1.62611 6 44 0.139984 215 70 134.459
156 0.0116942 -nan 0.778195 3 56 0.25287 99 190 136.289
157 0 -nan 0.625777 0 47 0.753266 3 0 124.468
